,,,
Portfolio,,,
,,,
LCA(전과정평가),현재,,
,2021,"SK picglobal PO, PG제품의 카본트러스트 인증 컨설팅",SK picglobal
,2021,코오롱바스프이노폼 POM 제품 전과정평가 수행 및 ISCC 인증 대응,코오롱바스프이노폼㈜
,2021,이마트 PB제품 환경성적표지인증 지원사업,㈜이마트
,2021,코오롱플라스틱 POM 제품 전과정평가 수행 및 ISCC 인증 대응,코오롱플라스틱㈜
,2021,빙그레 제품 환경성적표지인증 컨설팅,㈜빙그레
,2021,네이버 Clova AI제품 환경성적표지 인증 컨설팅,네이버㈜
,2021,삼성전기 제품 환경성적표지 인증 취득 컨설팅,삼성전기㈜
,2021,신에츠실리콘 제품 환경성적표지인증 컨설팅,한국신에츠실리콘㈜
,2021,누리캠 환경성적표지인증 컨설팅,누리캠
,2021,한국신에츠실리콘 환경성적표지인증 컨설팅,한국신에츠실리콘㈜
,2021,삼양식품 제품 전과정평가 수행 및 환경성적표지인증,삼양식품㈜
,2021,동천 우레탄 단열재 제품 환경성적표지인증 컨설팅,(주)동천
,2021,동산 ENG 환경성적표지인증 컨설팅,(주)동산이엔지
,2021,CNS 환경성적표지인증 컨설팅,㈜LG CNS
,2020,무릉도원 제품 환경성적표지인증 컨설팅,무릉도원㈜
,2020,트렘코일브럭 제품 환경성적표지인증 컨설팅,트렘코일브럭(유)
,2020,세경산업 제품 환경성적표지인증 컨설팅,세경산업㈜
,2020,디앤에프 제품 환경성적표지인증 컨설팅,디앤에프
,2020,스페이스링크 제품 환경성적표지인증 컨설팅,(주)스페이스링크
,2020,다스코 단열재 제품 환경성적표지인증 컨설팅,다스코㈜
,2020,IS중공업 제품 환경성적표지인증 컨설팅,(주)아이에스중공업
,2020,신원 단열재 제품 환경성적표지인증 컨설팅,(주)신원
,2020,이비아이 단열재 제품 환경성적표지인증 컨설팅,(주)이비아이
,2020,이마트 PB 제품 환경성적표지인증 컨설팅,㈜이마트
,2020,국가 LCI 데이터베이스 구축 사업,한국환경산업기술원
,2019,에버월 제품 환경성적표지인증 컨설팅,에버월
,2019,동천 단열재 제품 환경성적표지인증 컨설팅,(주)동천
,2019,유통사 PB제품 환경성적표지인증 컨설팅 지원사업,한국환경산업기술원
,2018,서경씨엠티 환경성적표지인증 컨설팅,(주)서경씨엠티
,2018,삼성전자 디스플레이 UL EPD 인증 컨설팅,삼성전자㈜
,2017,노보텔 엠버서더 호텔 탄소성적표지 인증 컨설팅,노보텔
,2017,집단에너지 저탄소 인증 컨설팅,한국지역난방공사
,2017,중소중견기업 환경성적표지인증 지원사업,한국환경산업기술원
,2016,국가 LCI 데이터베이스 제·개정,한국환경산업기술원
,2016,스페이스링크 탄소성적표지인증 컨설팅,(주)스페이스링크
,2016,한국신에츠 탄소성적표지인증 컨설팅,한국신에츠실리콘㈜
자원순환,연도,과제명,발주처
,2025,환경성보장제도 전품목 확대에 따른 회수재활용 의무이행 방안 마련,이순환거버넌스
,2023,미래폐자원 자원순환체계 구축 기반 마련 연구,이순환거버넌스
,2023,폐전기·전자제품 물질흐름분석 및 실질 재활용률 분석 사업,이순환거버넌스
,2022,전기전자제품 자원순환 정책 및 법령 정비 방안마련 연구,이순환거버넌스
,2022,한국농수산재활용공제조합 재활용 분담금 단가 산정 연구,한국농수산재활용사업공제조합
,2022,알루미늄 캔 닫힌 고리 재활용 활성화를 위한 방안 연구,노벨리스코리아(주)
,2021,지속가능 회수재활용체계 마련 환경성보장제 발전 방안,이순환거버넌스
,2021,제로웨이스트 매장 인증기준 개발 연구,서울특별시
,2020,필름류 제품ᆞ포장재 재생원료ᆞ재활용제품 사용현황 분석 및 판로확대 제도화 방안 연구,환경부
,2020,전기전자제품 장기재활용 목표량 적정성 분석,이순환거버넌스
,2020,전선피복 회수 및 재활용 활성화를 위한 합리적 방안 마련 연구,대한전선협회
,2020,종이제품 EPR도입 타당성 분석 연구,한국제지연합회
,2020,분담금 단가산정 및 변동인자 적용 방안 연구,한국농수산재활용사업공제조합
,2019,건설용 발포플라스틱 회수 및 재활용활성화 방안 연구,한국발포플라스틱공업협동조합
,2019,산업용PE필름 품목 정립 및 재활용 등 실태조사 연구,한국농수산재활용사업공제조합
,2019,석탄화력 자원순환 성과관리제 효율적 대응방안 마련 연구,발전 4사
,2019,리튬배터리 채택 폐전자제품 적정 관리방안 마련을 위한 연구,이순환거버넌스
,2019,순환자원 품질표지인증을 위한 '식물성 잔재물' 현장심사지침 개발,한국환경산업기술원
,2019,수산물 양식용 부자 EPR 사업 개선방안 연구 및 부담금 단가산정 및 변동인자 적용 방안 연구,한국농수산재활용사업공제조합
,2018,전기차 폐배터리 재활용 방법 및 기준마련 연구,환경부
,2018,중기 공제사업 여건분석 및 대응방안 마련 연구,한국포장재재활용사업공제조합
,2017,폐기물부담금 플라스틱 자발적 협약 품목 발생량 추정 및 재활용 비용산정 연구,자발적협약 재활용협회
,2017,"산업용 PE필름 출고량, 폐기물발생량 및 재활용비용 산정연구",한국농수산재활용사업공제조합
,2017,중소형 폐전기전자제품의 효율적인 회수체계 구축방안 연구,이순환거버넌스
,2017,빈용기보증금 포함 제품 판매 회수 유형 연구,한국순환자원유통지원센터
,2016,국내·외 재활용 관련 표준 조사,한국산업기술시험원
,2016,사업회원 자격기준의 적정성 평가 및 개선방안 연구,이순환거버넌스
,2016,Eco-efficiency 기술분석평가를 통한 재활용기술 상용화 지원,한국지질자원연구원
기후변화대응,연도,과제명,발주처
,2025,LS ELECTRIC㈜ ESG 및 지속가능성 평가 대응 전략수립 연구 ,엘에스일렉트릭㈜
,2025,DL케미칼 SCOPE3 배출량 산정 ,DL케미칼㈜
,2024,SK쉴더스 SCOPE3 배출량 산정 ,SK쉴더스㈜
,2024,삼성전자 GLEC Framework 검증 컨설팅 ,삼성전자㈜
,2024,DL케미칼 SCOPE3 배출량  산정 ,DL케미칼㈜
,2024,조선내화 SCOPE3 배출량  산정 ,조선내화(주)
,2023,유한킴벌리 Scope 3 배출량 산정 및 관리방안 마련,유한킴벌리㈜
,2023,서연이화 Scope3 배출량 산정 및 산정 체계 구축,서연이화
,2023,DL케미칼 Scope3 배출량 산정 및 검증,DL케미칼㈜
,2023,아모레퍼시픽 SCOPE3 배출량 산정체계 구축 및 SBTi 검증,㈜아모레퍼시픽
,2023,서연이화 사업장인벤토리 구축,서연이화
,2021,아태 환경장관포럼 탄소배출량 산정,한국환경산업기술원
,2020,섬유패션 소재 제조기업 기후변화 대응 기반구축 지원,FITI시험연구원
,2019,코스맥스 CDP 대응 컨설팅,코스맥스
,2017,전과정평가 기법을 활용한 온실가스 저감기술에 대한 환경성평가,한국화학연구원
,2016,LG생활건강 탄소파트너십 사업,산업통상자원부
,2016,수산분야 온실가스 정보 웹사이트 컨텐츠 작성,국립수산과학원
환경정책 및 보건환경,연도,과제명,발주처
,2025,2025년 유통 생활화학제품 및 어린이용품 온오프라인 시장모니터링 ,한국환경산업기술원
,2025,2025년 취약계층 실내환경 컨설팅 사업 ,한국환경산업기술원
,2025,녹색분류체계 인정기준 고도화 및 기준안 연구 ,한국환경산업기술원
,2024,2024년 취약계층 실내환경 컨설팅 사업 ,한국환경산업기술원
,2024,2024년 생활화학제품 시장감시단 운영 ,한국환경산업기술원
,2024,2024년 어린이용품 모니터링 및 환경유해인자 관리 컨설팅 ,한국환경산업기술원
,2024,환경책임투자 동향 DB 구축 사업 ,한국환경산업기술원
,2024,한국형 녹색분류체계 협의체 운영 ,한국환경산업기술원
,2023,2023년 취약계층 실내환경 컨설팅 사업,한국환경산업기술원
,2023,한국형 녹색분류체계의 전과정평가 기반 인정기준 적용방안 연구,한국환경산업기술원
,2023,생활화학제품 정보제공 체계 선진화 방안 마련,환경부
,2023,2023년 생활화학제품 시장감시단 운영,한국환경산업기술원
,2023,2023년 환경책임투자 동향 DB 구축 사업,한국환경산업기술원
,2022,생활화학제품 안전관리제도 효율적 운영 및 개선방안 연구,환경부
,2022,2022년 생활화학제품 시장감시단 운영,한국환경산업기술원
,2022,2022년 취약계층 생활환경 컨설팅 사업,한국환경산업기술원
,2022,2022년 환경책임투자 동향 DB 구축 사업,한국환경산업기술원
,2021,기업 ESG평가를 위한 전략수립 컨설팅,트레스웍스
,2021,환경경영정보포털 환경정보 데이터베이스 구축,한국환경산업기술원
,2021,환경개선 기여도 산정 방법론 및 녹색금융 동향 DB 구축,한국환경산업기술원
,2021,2021년 어린이용품 자가관리 지원사업,한국환경산업기술원
,2021,2021년 어린이용품 환경유해인자 모니터링 사업,한국환경산업기술원
,2021,2021년 생활화학제품 시장감시단 운영,한국환경산업기술원
,2021,2021년 취약계층 실내환경 컨설팅 사업,한국환경산업기술원
,2020,환경성적표지 인증 심사 매뉴얼 개발,한국환경산업기술원
,2020,친환경제품 매출액 조사 및 지표화 방안 연구,한국환경산업기술원
,2020,환경성 프로파일 분석을 통한 제품분류 및 기준단위 개발,한국환경산업기술원
,2020,녹색장터 중장기 발전방안 마련을 위한 연구,한국환경산업기술원
,2020,환경성질환 피해자 실내환경 컨설팅,한국환경산업기술원
,2020,2020년 생활화학제품 시장감시단 운영,한국환경산업기술원
,2020,2020년 취약계층 실내환경 컨설팅 사업,한국환경산업기술원
,2020,2020년 어린이용품 모니터링 및 유해물질 관리 컨설팅,한국환경산업기술원
,2019,환경산업연구단지 입주기업 실태조사,한국환경산업기술원
,2019,환경성적표지 인증 심사 매뉴얼 제작,한국환경산업기술원
,2019,시장유통제품 안전/표시기준 준수여부 조사,한국환경산업기술원
,2019,광산채움재 기술에 대한 경제성평가,한국지질자원연구원
,2018,어린이 사용제품의 안정성 향상을 위한 위험성 평가,에코플러스
,2018,환경오염피해 구제제도 개선 및 발전 방안 마련,한국환경산업기술원
,2018,환경산업연구단지 입주기업 실태조사 지표 개발 및 성과관리 체계 구축 연구,한국환경산업기술원
